name,countries,num_sites,tags,notes,status,data_policy_beltfish,data_policy_benthiclit,data_policy_benthicpit,data_policy_benthicpqt,data_policy_habitatcomplexity,data_policy_bleachingqc,created_on,updated_on
2016 bleaching surveys,"Australia, Fiji, India, Indonesia, Japan, Madagascar, Maldives, Mauritius",169,"WCS Indonesia, WCS Fiji, WCS",,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-11-09T19:30:30.995648Z,2022-05-10T16:52:58.497167Z
ACEH_EAST COAST_2022,Indonesia,9,"WCS Indonesia, Vibrant Oceans",,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2023-01-23T07:59:44.171144Z,2023-01-23T08:13:15.185852Z
ACEH_EAST COAST_2022-Delete,Indonesia,9,"WCS Indonesia, Vibrant Oceans",,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2023-01-23T06:44:04.176530Z,2023-01-23T07:58:15.454524Z
Aceh (Weh & Aceh Besar) 2019,Indonesia,36,"WCS Indonesia, Vibrant Oceans","SAP Aceh Besar, TWAL Pulau Weh, dan SAP Pesisir Timur Pulau Weh",Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2019-07-25T17:17:58.720470Z,2023-01-23T03:08:34.201825Z
Aceh 2006,Indonesia,27,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-07-06T08:16:22.631152Z,2021-07-06T08:19:27.066884Z
Aceh 2007,Indonesia,29,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-07-06T08:44:47.100436Z,2021-07-06T08:44:47.100471Z
Aceh 2008,Indonesia,29,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-07-06T09:10:05.981402Z,2021-07-06T09:10:05.981434Z
Aceh 2009,Indonesia,29,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-07-04T15:46:53.629696Z,2021-07-05T09:43:02.862110Z
Aceh 2010,Indonesia,11,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-07-06T10:13:19.047251Z,2021-07-06T10:13:19.047289Z
Aceh 2011,Indonesia,24,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-07-06T11:55:14.591357Z,2021-07-06T11:55:14.591401Z
Aceh 2013,Indonesia,23,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-07-06T12:05:15.516031Z,2021-07-06T12:06:37.842277Z
Aceh 2014,Indonesia,13,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-07-06T12:15:52.130222Z,2021-07-11T14:46:32.252720Z
Aceh 2016,Indonesia,14,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-07-06T12:34:28.643124Z,2021-07-11T14:53:34.481714Z
Aceh Besar 2022,Indonesia,17,WCS Indonesia,SAP Aceh Besar,Open,Private,Private,Private,Public Summary,Private,Private,2022-06-12T17:59:36.918514Z,2024-03-13T05:04:55.695871Z
Aceh East Coast 2019,Indonesia,12,"WCS Indonesia, Vibrant Oceans",SAP Pesisir Timur Pulau Weh 2019 only,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2023-01-23T09:58:05.842787Z,2023-01-23T09:58:05.842816Z
Aceh Jaya MPA 2020,Indonesia,18,"WCS Indonesia, Vibrant Oceans",,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2020-02-19T06:01:05.322772Z,2022-08-10T09:11:08.055399Z
Aceh Jaya MPA 2022,Indonesia,18,"WCS Indonesia, Vibrant Oceans",,Open,Public Summary,Private,Private,Public Summary,Private,Public Summary,2022-06-12T23:02:36.707338Z,2024-03-03T16:11:03.942019Z
Banyak Islands MPA (TWAL) 2021,Indonesia,22,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2019-12-19T04:23:37.453443Z,2021-04-19T02:14:17.316671Z
Bleaching Coral Karimunjawa 2024,Indonesia,1,"Taman Nasional Karimunjawa, WCS-IP, HPI Karimunjawa",,Open,Private,Private,Private,Public Summary,Private,Private,2024-02-21T06:44:06.970614Z,2024-02-21T08:02:04.155303Z
Bleaching Minut 2023,Indonesia,6,WCS Indonesia,"Minahasa Utara MPA, Sitaro MPA, and Tatoareng MPA",Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2023-07-24T05:42:40.205289Z,2024-02-20T14:32:58.508963Z
CONTOH - Kelapa 2015,Indonesia,5,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-09-21T06:05:21.507765Z,2021-09-21T06:05:21.507817Z
Cempi 2015,Indonesia,5,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-05-25T14:01:10.973890Z,2021-07-06T14:07:47.311631Z
Coral Bleaching Survey 2024 - Karimunjawa,Indonesia,1,"Taman Nasional Karimunjawa, WCS-IP, HPI Karimunjawa",,Open,Private,Private,Private,Public Summary,Private,Private,2024-02-21T06:12:30.801177Z,2024-02-21T07:48:43.975099Z
Gili Balu 2014,Indonesia,6,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-06-06T09:06:12.963451Z,2021-07-04T14:28:09.308258Z
Gili Balu MPA_2020,Indonesia,15,WCS Indonesia,"Upcoming Activities : 
> Upload data survei tahun 2015",Open,Private,Private,Private,Public Summary,Private,Private,2020-11-04T11:04:33.902244Z,2024-02-14T09:50:08.186146Z
Gili Balu MPA_2023,Indonesia,12,WCS Indonesia,"Upcoming Activities : 
> Upload data survei tahun 2015",Open,Private,Private,Private,Public Summary,Private,Private,2023-10-15T09:20:55.244649Z,2024-02-14T09:50:38.763946Z
Gili Banta 2015,Indonesia,5,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-06-06T09:09:56.988841Z,2021-07-06T14:28:16.877133Z
